-370.000000 400.000000 -330.000000, -358.000000 235.000000 -165.000000, -137.000000 364.000000 -719.000000, -239.000000 135.000000 -698.000000, -10.000000 -236.000000 563.000000, -519.000000 210.000000 -380.000000, 206.000000 -115.000000 -673.000000, -337.000000 181.000000 -707.000000, 128.000000 -239.000000 653.000000, -29.000000 -6.000000 649.000000, 
-414.906036 264.480774 -353.062073, -485.482788 266.653931 -211.692886, -151.990372 346.206177 -595.750305, -152.481400 195.417847 -593.211792, -26.251892 -156.434204 620.599487, -566.901062 269.564819 -345.382904, 221.815353 -94.206711 -533.435547, -288.975464 270.971893 -598.192017, 124.705650 -160.589447 619.909668, 52.284195 -22.135759 619.762573, 
-414.885010 264.472198 -353.004333, -485.542908 266.674652 -211.683701, -151.977448 346.203827 -595.763916, -152.482239 195.415634 -593.221497, -26.252892 -156.430801 620.598389, -566.882690 269.549438 -345.430756, 221.815353 -94.206718 -533.435608, -288.970886 270.983948 -598.172058, 124.705650 -160.589447 619.909668, 52.287144 -22.135069 619.763611, 
-414.878448 264.459778 -352.956390, -485.587341 266.686707 -211.674911, -151.964539 346.201477 -595.778625, -152.486465 195.412949 -593.225098, -26.252892 -156.430786 620.598328, -566.874512 269.545654 -345.453278, 221.815353 -94.206718 -533.435547, -288.968964 271.000061 -598.149231, 124.705650 -160.589447 619.909668, 52.287144 -22.135069 619.763550, 
-414.880829 264.435974 -352.931946, -485.616760 266.711609 -211.676102, -151.956421 346.196899 -595.785400, -152.487640 195.410553 -593.223633, -26.252892 -156.430786 620.598206, -566.867493 269.534454 -345.485046, 221.815353 -94.206703 -533.435669, -288.969299 271.010254 -598.136719, 124.705650 -160.589447 619.909668, 52.287144 -22.135069 619.763550, 
-414.883423 264.409149 -352.899780, -485.650848 266.735718 -211.673065, -151.953873 346.197510 -595.789124, -152.494339 195.408661 -593.225403, -26.252892 -156.430786 620.598328, -566.863220 269.526123 -345.511414, 221.815338 -94.206703 -533.435608, -288.971680 271.022858 -598.124878, 124.705650 -160.589462 619.909546, 52.287144 -22.135069 619.763550, 
-414.879883 264.370667 -352.856934, -485.685364 266.771851 -211.664383, -151.952698 346.195465 -595.791626, -152.500259 195.408157 -593.228577, -26.252892 -156.430786 620.598450, -566.864990 269.521637 -345.530975, 221.815353 -94.206711 -533.435547, -288.975067 271.029083 -598.120605, 124.705650 -160.589432 619.909546, 52.287144 -22.135069 619.763489, 
-414.875122 264.318665 -352.796478, -485.742249 266.827850 -211.647247, -151.948456 346.192841 -595.795959, -152.515289 195.406387 -593.232910, -26.252892 -156.430786 620.598206, -566.855530 269.506744 -345.560760, 221.815353 -94.206711 -533.435547, -288.981812 271.041077 -598.110107, 124.705650 -160.589447 619.909668, 52.287144 -22.135069 619.763611, 
-414.870544 264.261932 -352.756653, -485.781097 266.873016 -211.647171, -151.934235 346.181915 -595.801697, -152.525620 195.397095 -593.239197, -26.252892 -156.430786 620.598328, -566.839355 269.508087 -345.609161, 221.815353 -94.206711 -533.435547, -288.983337 271.052063 -598.092346, 124.705650 -160.589447 619.909668, 52.287144 -22.135069 619.763550, 
-414.864166 264.241028 -352.735931, -485.812347 266.902618 -211.647156, -151.924118 346.170380 -595.817139, -152.533752 195.388855 -593.238525, -26.252892 -156.430786 620.598328, -566.834717 269.494110 -345.632355, 221.815353 -94.206711 -533.435669, -288.985016 271.056488 -598.079651, 124.705650 -160.589447 619.909668, 52.287144 -22.135071 619.763489, 
-414.861359 264.222931 -352.723297, -485.828949 266.913635 -211.647736, -151.920883 346.165100 -595.837158, -152.539627 195.388046 -593.247070, -26.252892 -156.430786 620.598328, -566.823730 269.500793 -345.653503, 221.815353 -94.206718 -533.435608, -288.990906 271.063660 -598.051880, 124.705650 -160.589447 619.909668, 52.287144 -22.135069 619.763489, 
