-184.541473 155.360535 464.653931, -373.505951 436.590363 -212.365189, -241.646332 502.027344 -125.088867, -372.555115 589.771118 -191.893723, -519.012634 -6.173396 21.881012, 460.539459 66.389046 -320.573303, -183.693680 156.329132 605.168579, 459.248047 143.484528 -456.507904, 460.308136 217.054718 -318.748688, -240.493576 523.287109 -277.896454, 
-184.541489 155.360565 464.653931, -373.512421 436.577423 -212.253128, -241.652557 502.131653 -125.088203, -372.553802 589.793701 -192.032654, -519.012634 -6.173396 21.881012, 460.539398 66.389038 -320.573334, -183.693710 156.329132 605.168579, 459.247986 143.484528 -456.507904, 460.308136 217.054718 -318.748718, -240.479828 523.167419 -277.914368, 
-184.541473 155.360535 464.653931, -373.503601 436.559601 -212.150024, -241.640015 502.251678 -125.095337, -372.557037 589.790161 -192.160507, -519.012634 -6.173396 21.881012, 460.539368 66.389046 -320.573303, -183.693695 156.329132 605.168579, 459.248047 143.484543 -456.507904, 460.308136 217.054718 -318.748718, -240.457367 523.072754 -277.942627, 
-184.541473 155.360550 464.653961, -373.490936 436.536987 -212.035034, -241.612106 502.363953 -125.094765, -372.553040 589.784607 -192.272079, -519.012634 -6.173396 21.881012, 460.539368 66.389030 -320.573303, -183.693710 156.329132 605.168518, 459.248047 143.484528 -456.507935, 460.308167 217.054718 -318.748688, -240.438553 522.974487 -277.958008, 
-184.541489 155.360535 464.653931, -373.480225 436.511536 -211.943848, -241.591461 502.478668 -125.105621, -372.550873 589.773926 -192.368820, -519.012634 -6.173396 21.881012, 460.539368 66.389038 -320.573364, -183.693695 156.329132 605.168640, 459.247986 143.484528 -456.507935, 460.308136 217.054718 -318.748718, -240.419098 522.867615 -277.985931, 
-184.541473 155.360565 464.653900, -373.460358 436.484711 -211.860275, -241.574860 502.599091 -125.105484, -372.562286 589.754150 -192.473267, -519.012634 -6.173396 21.881012, 460.539459 66.389038 -320.573364, -183.693710 156.329102 605.168518, 459.248047 143.484543 -456.507904, 460.308167 217.054718 -318.748718, -240.399567 522.769958 -278.008789, 
-184.541489 155.360535 464.653900, -373.450714 436.454071 -211.774963, -241.573532 502.705475 -125.096519, -372.572327 589.745300 -192.569443, -519.012695 -6.173396 21.881012, 460.539368 66.389046 -320.573395, -183.693710 156.329132 605.168579, 459.248047 143.484543 -456.507904, 460.308136 217.054718 -318.748688, -240.392105 522.676758 -278.019897, 
-184.541504 155.360550 464.653961, -373.436371 436.422485 -211.677338, -241.571243 502.809937 -125.080025, -372.579010 589.737488 -192.677948, -519.012634 -6.173396 21.881012, 460.539368 66.389038 -320.573364, -183.693710 156.329147 605.168579, 459.248047 143.484528 -456.507996, 460.308136 217.054718 -318.748718, -240.378815 522.589844 -278.024078, 
-184.541489 155.360550 464.653931, -373.420929 436.403595 -211.603760, -241.566788 502.917847 -125.061577, -372.591278 589.730408 -192.756149, -519.012573 -6.173396 21.881012, 460.539368 66.389053 -320.573364, -183.693710 156.329086 605.168579, 459.248047 143.484512 -456.507904, 460.308136 217.054718 -318.748718, -240.357010 522.497314 -278.018860, 
-184.541489 155.360535 464.653961, -373.404541 436.383301 -211.543457, -241.573380 503.008881 -125.041344, -372.600708 589.725708 -192.857590, -519.012634 -6.173396 21.881012, 460.539368 66.389046 -320.573364, -183.693710 156.329132 605.168579, 459.248047 143.484543 -456.507904, 460.308136 217.054718 -318.748688, -240.329651 522.419006 -278.012634, 
-184.541489 155.360565 464.653931, -373.409363 436.377319 -211.490509, -241.590820 503.089874 -125.018814, -372.601471 589.726257 -192.951508, -519.012756 -6.173396 21.881012, 460.539368 66.389038 -320.573334, -183.693695 156.329086 605.168518, 459.248047 143.484558 -456.507904, 460.308167 217.054718 -318.748718, -240.287537 522.322021 -277.997467, 
-184.541473 155.360565 464.653931, -373.417572 436.369232 -211.432022, -241.602493 503.167236 -124.991974, -372.602814 589.726013 -193.027893, -519.012695 -6.173396 21.881012, 460.539368 66.389046 -320.573364, -183.693710 156.329132 605.168640, 459.247986 143.484573 -456.507935, 460.308136 217.054718 -318.748718, -240.277008 522.229614 -277.992859, 
-184.541489 155.360535 464.653931, -373.431824 436.359711 -211.367157, -241.609772 503.238586 -124.971680, -372.600952 589.732849 -193.103958, -519.012573 -6.173396 21.881012, 460.539398 66.389038 -320.573303, -183.693710 156.329102 605.168579, 459.247986 143.484528 -456.507904, 460.308136 217.054718 -318.748718, -240.276474 522.145020 -277.987488, 
-184.541489 155.360565 464.653961, -373.441162 436.360992 -211.288620, -241.605942 503.303253 -124.958824, -372.599854 589.741577 -193.178925, -519.012756 -6.173396 21.881012, 460.539398 66.389038 -320.573364, -183.693710 156.329132 605.168518, 459.247986 143.484528 -456.507935, 460.308167 217.054718 -318.748688, -240.272263 522.068054 -277.988892, 
-184.541489 155.360550 464.653931, -373.455811 436.357025 -211.212982, -241.602264 503.361572 -124.962410, -372.591431 589.751770 -193.245621, -519.012756 -6.173396 21.881012, 460.539398 66.389038 -320.573364, -183.693710 156.329086 605.168579, 459.247986 143.484528 -456.507935, 460.308136 217.054718 -318.748688, -240.276047 521.983643 -278.007629, 
-184.541504 155.360550 464.653931, -373.476379 436.369171 -211.145996, -241.596802 503.435822 -124.963928, -372.586548 589.766663 -193.309601, -519.012634 -6.173396 21.881012, 460.539368 66.389038 -320.573364, -183.693710 156.329102 605.168640, 459.248047 143.484558 -456.507904, 460.308136 217.054718 -318.748718, -240.267822 521.896240 -278.015930, 
-184.541504 155.360535 464.653961, -373.505371 436.366028 -211.050110, -241.590729 503.515259 -124.968567, -372.589996 589.775146 -193.381073, -519.012695 -6.173396 21.881012, 460.539398 66.389038 -320.573364, -183.693710 156.329102 605.168457, 459.247986 143.484543 -456.507935, 460.308136 217.054718 -318.748688, -240.279694 521.800110 -278.026947, 
-184.541489 155.360535 464.653931, -373.512482 436.359955 -210.958481, -241.578110 503.603821 -124.962952, -372.601898 589.777771 -193.452332, -519.012756 -6.173396 21.881012, 460.539368 66.389053 -320.573364, -183.693710 156.329086 605.168579, 459.248047 143.484543 -456.507904, 460.308136 217.054718 -318.748688, -240.284149 521.710449 -278.029633, 
-184.541504 155.360565 464.653992, -373.510773 436.353699 -210.874771, -241.567078 503.688904 -124.957993, -372.612732 589.774658 -193.547714, -519.012634 -6.173396 21.881012, 460.539368 66.389046 -320.573364, -183.693710 156.329132 605.168579, 459.248047 143.484543 -456.507904, 460.308136 217.054718 -318.748718, -240.266708 521.648315 -278.027100, 
-184.541489 155.360550 464.653931, -373.509247 436.346008 -210.794586, -241.558975 503.766785 -124.953453, -372.621796 589.776733 -193.625427, -519.012634 -6.173396 21.881012, 460.539398 66.389038 -320.573364, -183.693710 156.329132 605.168640, 459.247986 143.484558 -456.507935, 460.308136 217.054718 -318.748688, -240.260864 521.581604 -278.029419, 
-184.541519 155.360550 464.653931, -373.506134 436.342590 -210.736908, -241.558762 503.826202 -124.936874, -372.626160 589.782288 -193.708847, -519.012756 -6.173396 21.881012, 460.539368 66.389038 -320.573364, -183.693710 156.329086 605.168579, 459.248047 143.484558 -456.507935, 460.308136 217.054718 -318.748718, -240.244995 521.513184 -278.019287, 
